[2016-06-04 22:24:12.590] [TRACE] auth_watcher.log - Entity [006bdfd68d9abb92990b021e643ec45dbc2af52c] accessing Url '/plugins'
[2016-06-05 11:32:57.366] [TRACE] auth_watcher.log - Entity [3ac3628a8f2bdbcd2dd3aa5883979735e113671d] accessing Url '/plugins'
[2016-06-05 12:28:35.579] [TRACE] auth_watcher.log - Entity [367461899d96b99c88c6439a737683b0699ecebe] accessing Url '/plugins'
[2016-06-05 12:28:40.703] [TRACE] auth_watcher.log - Entity [367461899d96b99c88c6439a737683b0699ecebe] accessing Url '/plugins/add'
[2016-06-05 13:02:59.512] [TRACE] auth_watcher.log - Entity [769ff39a30bc6d1a8155a8d1665895f725f7def6] accessing Url '/plugins'
[2016-06-05 13:03:01.707] [TRACE] auth_watcher.log - Entity [769ff39a30bc6d1a8155a8d1665895f725f7def6] accessing Url '/plugins/add'
[2016-06-05 13:03:04.150] [TRACE] auth_watcher.log - Entity [769ff39a30bc6d1a8155a8d1665895f725f7def6] accessing Url '/plugins'
[2016-06-05 13:03:04.897] [TRACE] auth_watcher.log - Entity [769ff39a30bc6d1a8155a8d1665895f725f7def6] accessing Url '/plugins/add'
[2016-06-05 13:03:12.667] [TRACE] auth_watcher.log - Entity [1f2558de3d2a0def81dfd60f8141f224e54c6c70] accessing Url '/plugins'
[2016-06-05 13:03:14.424] [TRACE] auth_watcher.log - Entity [1f2558de3d2a0def81dfd60f8141f224e54c6c70] accessing Url '/plugins/add'
[2016-06-05 13:03:17.594] [TRACE] auth_watcher.log - Entity [1f2558de3d2a0def81dfd60f8141f224e54c6c70] accessing Url '/plugins'
[2016-06-05 13:03:18.212] [TRACE] auth_watcher.log - Entity [1f2558de3d2a0def81dfd60f8141f224e54c6c70] accessing Url '/plugins/add'
[2016-06-05 13:03:18.824] [TRACE] auth_watcher.log - Entity [1f2558de3d2a0def81dfd60f8141f224e54c6c70] accessing Url '/plugins'
[2016-06-05 13:03:19.392] [TRACE] auth_watcher.log - Entity [1f2558de3d2a0def81dfd60f8141f224e54c6c70] accessing Url '/plugins/add'
[2016-06-05 13:03:20.754] [TRACE] auth_watcher.log - Entity [1f2558de3d2a0def81dfd60f8141f224e54c6c70] accessing Url '/plugins'
[2016-06-05 13:03:23.426] [TRACE] auth_watcher.log - Entity [1f2558de3d2a0def81dfd60f8141f224e54c6c70] accessing Url '/plugins/add'
[2016-06-05 13:03:24.955] [TRACE] auth_watcher.log - Entity [1f2558de3d2a0def81dfd60f8141f224e54c6c70] accessing Url '/plugins'
[2016-06-05 13:35:51.084] [TRACE] auth_watcher.log - Entity [770dc3d532c4c5ceedb8d33cb477ca506dd768e7] accessing Url '/plugins'
[2016-06-05 13:35:53.341] [TRACE] auth_watcher.log - Entity [770dc3d532c4c5ceedb8d33cb477ca506dd768e7] accessing Url '/plugins/add'
[2016-06-05 13:35:54.229] [TRACE] auth_watcher.log - Entity [770dc3d532c4c5ceedb8d33cb477ca506dd768e7] accessing Url '/plugins'
[2016-06-05 19:53:05.312] [TRACE] auth_watcher.log - Entity [dd2d6adfcf476be08b40198590946a46e5a3ccdf] accessing Url '/plugins'
[2016-06-05 19:53:24.917] [TRACE] auth_watcher.log - Entity [dd2d6adfcf476be08b40198590946a46e5a3ccdf] accessing Url '/plugins/remove/azeaze'
[2016-06-05 19:53:24.969] [TRACE] auth_watcher.log - Entity [dd2d6adfcf476be08b40198590946a46e5a3ccdf] accessing Url '/plugins'
[2016-06-05 19:54:19.363] [TRACE] auth_watcher.log - Entity [dd2d6adfcf476be08b40198590946a46e5a3ccdf] accessing Url '/plugins/add'
[2016-06-05 19:54:26.574] [TRACE] auth_watcher.log - Entity [dd2d6adfcf476be08b40198590946a46e5a3ccdf] accessing Url '/plugins/add'
[2016-06-05 19:54:26.836] [TRACE] auth_watcher.log - Entity [dd2d6adfcf476be08b40198590946a46e5a3ccdf] accessing Url '/plugins'
[2016-06-05 19:55:40.769] [TRACE] auth_watcher.log - Entity [cf665003c263d3e1c5249df4c87c466fac65eb50] accessing Url '/plugins'
[2016-06-05 19:55:44.034] [TRACE] auth_watcher.log - Entity [cf665003c263d3e1c5249df4c87c466fac65eb50] accessing Url '/plugins/remove/coucou'
[2016-06-05 19:55:44.120] [TRACE] auth_watcher.log - Entity [cf665003c263d3e1c5249df4c87c466fac65eb50] accessing Url '/plugins'
[2016-06-05 19:55:56.875] [TRACE] auth_watcher.log - Entity [cf665003c263d3e1c5249df4c87c466fac65eb50] accessing Url '/plugins/add'
[2016-06-05 19:56:01.729] [TRACE] auth_watcher.log - Entity [cf665003c263d3e1c5249df4c87c466fac65eb50] accessing Url '/plugins/add'
[2016-06-05 19:56:01.794] [TRACE] auth_watcher.log - Entity [cf665003c263d3e1c5249df4c87c466fac65eb50] accessing Url '/plugins'
